Fusion Name	Gene 1 Symbol	Gene 2 Symbol
IQCJ:SCHIP1	IQCJ	SCHIP1
OGDHL:PFKM	OGDHL	PFKM
UQCRFS1:ALDOA	UQCRFS1	ALDOA
PHYH:TMEM184B	PHYH	TMEM184B
PTGDS:ALOX15	PTGDS	ALOX15
SPOCK2:PTGDS	SPOCK2	PTGDS
NPDC1:PPP3CA	NPDC1	PPP3CA
GAPDH:MAPK8	GAPDH	MAPK8
FAM98A:MAPK8	FAM98A	MAPK8
ISCA2:CDC37L1	ISCA2	CDC37L1
EPHX1:AK1	EPHX1	AK1
HEXIM1:EIF3M	HEXIM1	EIF3M
TAF13:PLEKHA1	TAF13	PLEKHA1
ICA1L:MEGF9	ICA1L	MEGF9
DNM1:TOMM20	DNM1	TOMM20
UCHL1:DNM1	UCHL1	DNM1
LPAR1:CIR1	LPAR1	CIR1
PDE4DIP:NAAA	PDE4DIP	NAAA
MAP2K1:RPL7A	MAP2K1	RPL7A
TTC8:RSU1	TTC8	RSU1
GAS2:ATP5MF	GAS2	ATP5MF
KIAA1191:PLEKHA1	KIAA1191	PLEKHA1
BCAN:VDAC1	BCAN	VDAC1
SETD2:CSNK1E	SETD2	CSNK1E
ZNF678:KCNH8	ZNF678	KCNH8
MRPS11:CIPC	MRPS11	CIPC
SLC25A18:PGBD4	SLC25A18	PGBD4
BRI3BP:SKA2	BRI3BP	SKA2
OPCML:NTM	OPCML	NTM
ZBTB41:STUM	ZBTB41	STUM
JAKMIP1:OARD1	JAKMIP1	OARD1
WDR6:SLC38A3	WDR6	SLC38A3
NT5DC1:ACAD11	NT5DC1	ACAD11
NT5DC1:ENSG00000241962	NT5DC1	ENSG00000241962
NTM:CSF1	NTM	CSF1
EIF3K:CEP290	EIF3K	CEP290
MRFAP1:TIMM23	MRFAP1	TIMM23
HTR1F:LCMT1	HTR1F	LCMT1
AP4M1:FAM156B	AP4M1	FAM156B
SH2B1:MYL6B	SH2B1	MYL6B
KIRREL3:DDC	KIRREL3	DDC
TRAPPC2:MTRFR	TRAPPC2	MTRFR
RBM39:SUGT1	RBM39	SUGT1
UNK:FIS1	UNK	FIS1
DSG3:NDFIP1	DSG3	NDFIP1
BHMT2:CABP1	BHMT2	CABP1
TENT2:AP3B1	TENT2	AP3B1
SYT4:STMN3	SYT4	STMN3
MYT1L:HNRNPDL	MYT1L	HNRNPDL
LRCH3:MPRIP	LRCH3	MPRIP
SPART:FARS2	SPART	FARS2
RPL26:TPT1	RPL26	TPT1
RPL27A:TPT1	RPL27A	TPT1
DLG4:PRR36	DLG4	PRR36
FLOT2:UTP11	FLOT2	UTP11
TERF2:RPL38	TERF2	RPL38
MTSS2:DUSP6	MTSS2	DUSP6
AARSD1:FBXO44	AARSD1	FBXO44
CES4A:CACNA1E	CES4A	CACNA1E
DCAKD:MARCHF5	DCAKD	MARCHF5
HSPA4:BCO2	HSPA4	BCO2
FAM161A:ABCG4	FAM161A	ABCG4
ZNF44:STX8	ZNF44	STX8
FNBP1:ZNF160	FNBP1	ZNF160
MORN4:ZNF791	MORN4	ZNF791
FKBP2:CDK5R2	FKBP2	CDK5R2
DMRTC1B:DMRTC1	DMRTC1B	DMRTC1
RXFP1:NUP62	RXFP1	NUP62
BNIP3:CHST1	BNIP3	CHST1
NRIP3:TNFAIP8L1	NRIP3	TNFAIP8L1
RAB6A:RAB6C	RAB6A	RAB6C
GPRIN3:CREG2	GPRIN3	CREG2
ZDHHC21:CCDC66	ZDHHC21	CCDC66
SAMD12:WDR25	SAMD12	WDR25
HTR1F:ZNF654	HTR1F	ZNF654
WIPF2:UBA52	WIPF2	UBA52
SREBF2:NDUFA6	SREBF2	NDUFA6
BRI3BP:CHP1	BRI3BP	CHP1
